Hummus,Appetizer,7.99,Crushed Chickpeas with Tahini and Olive Oil
Tabouleh,Appetizer,5.99,Chopped Parsley with Tomatoes and Mint
Falafel,Appetizer,8.99,Lightly Fried Balls made from Chickpeas and Fava Beans
Baklava,Dessert,3.5,Layers of Filo Dough filled with Crushed Nuts and Honey
Umm Ali,Dessert,4.99,Filo Pastry with Nuts and Raisins topped with Coconut Flakes
Knafeh,Dessert,4.5,Semolina Dough stuffed with Soft Cheese and topped with Shredded Filo Pastry
Soda,Drink,1.5,Choose from Sprite or Pepsi
Arabic Coffee,Drink,3,Extra Strong and Boiled
Tea,Drink,1.5,Strong Black Tea brewed with Sugar and served with Mint
Kibbeh Bil Seniyeh,Entree,16.99,A Layer of Ground Meat with Onions and Nuts sandwiched between Two Layers of Kibbeh
Kibbeh Swar,Entree,12.99,Cupcake-Like Kibbeh packed with Ground Meat baked to perfection and topped with Ground Pistachio Nuts
Aleppo Kofta,Entree,15.99,Minced Beef blended with Spices char-grilled and served with Rice
Khash-Khash,Entree,17.99,Minced Meat with Spices char-grilled and served over a Spicy Tomato Sauce with Rice
Shawarma,Entree,13.99,Grilled Strips of Seasoned Beef served with Rice and Salad
Falafel Platter,Entree,12.99,A Mixture of Ground Chickpeas and Spices Fried in Vegetable Oil and served with Hummus and Salad
Qatayef,Dessert,5.99,Dumplings filled with Your Choice of Walnuts or Cream which are topped with Pistachio and glazed with Honey (2 Pieces)
